location_name,longitude,latitude,acres,year,species_name,stagename,numberstocked
LAKE RUPERT,-82.520714,39.176466,327,1987,Walleye,Fingerlings,25344
LAKE RUPERT,-82.520714,39.176466,327,1988,Walleye,Fingerlings,9882
LAKE RUPERT,-82.520714,39.176466,327,1988,Walleye,Fingerlings,9750
LAKE RUPERT,-82.520714,39.176466,327,1982,Northern Pike,Fingerlings,3200
LAKE RUPERT,-82.520714,39.176466,327,1983,Northern Pike,Fingerlings,3250
LAKE RUPERT,-82.520714,39.176466,327,1984,Northern Pike,Fingerlings,1764
LAKE RUPERT,-82.520714,39.176466,327,1985,Northern Pike,Fingerlings,3250
LAKE RUPERT,-82.520714,39.176466,327,1986,Northern Pike,Fingerlings,1609
LAKE RUPERT,-82.520714,39.176466,327,1986,Northern Pike,Fingerlings,2616
BERLIN LAKE,-81.002592,41.046758,3132,1983,Walleye,Fingerlings,15650
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1982,Walleye,Fingerlings,26500
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1982,Walleye,Fingerlings,32000
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1983,Walleye,Fingerlings,25500
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1984,Walleye,Fingerlings,31500
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1984,Walleye,Fingerlings,25500
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1985,Walleye,Fingerlings,26500
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1987,Walleye,Fingerlings,46404
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1987,Walleye,Fingerlings,50040
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1988,Walleye,Fingerlings,79530
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1988,Walleye,Fingerlings,53928
BERLIN LAKE,-81.002592,41.046758,3132,1984,Walleye,Fry,500000
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1989,Walleye,Fingerlings,143100
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1989,Walleye,Fingerlings,16233
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1985,Muskellunge,Adv. Fingerlings,3740
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1986,Muskellunge,Adv. Fingerlings,5359
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1987,Muskellunge,Adv. Fingerlings,3840
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1988,Muskellunge,Adv. Fingerlings,825
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1988,Muskellunge,Adv. Fingerlings,170
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1989,Muskellunge,Adv. Fingerlings,2650
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1989,Muskellunge,Adv. Fingerlings,947
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1987,Striped Bass,Fingerlings,9500
BERLIN LAKE,-81.002592,41.046758,3132,1984,Walleye,Fry,2100000
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1987,Striped Bass,Fingerlings,5075
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1988,Striped Bass,Fingerlings,50293
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1982,Tiger Muskie,Adv. Fingerlings,5310
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1983,Tiger Muskie,Adv. Fingerlings,6018
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1984,Tiger Muskie,Adv. Fingerlings,6409
WHEELER CREEK (LAKE ERIE),NULL,NULL,N/A,1983,Rainbow Trout,Fingerlings,18750
WHEELER CREEK (LAKE ERIE),NULL,NULL,N/A,1984,Rainbow Trout,Fingerlings,20000
WILLARD RESERVOIR,-82.665177,41.057248,199,1984,Channel Catfish,Fingerlings,15000
BERLIN LAKE,-81.002592,41.046758,3132,1984,Walleye,Fry,1700000
WILLARD RESERVOIR,-82.665177,41.057248,199,1987,Channel Catfish,Yearling,4275
WILLARD RESERVOIR,-82.665177,41.057248,199,1989,Channel Catfish,Yearling,4344
WILLARD RESERVOIR,-82.665177,41.057248,199,1989,Channel Catfish,Yearling,656
WILLARD RESERVOIR,-82.665177,41.057248,199,1983,Walleye,Fingerlings,15000
WILLARD RESERVOIR,-82.665177,41.057248,199,1985,Walleye,Fingerlings,14949
WILLARD RESERVOIR,-82.665177,41.057248,199,1987,Walleye,Fingerlings,15240
WILLARD RESERVOIR,-82.665177,41.057248,199,1989,Walleye,Fingerlings,15000
WILLARD RESERVOIR,-82.665177,41.057248,199,1982,Yellow Perch,Fingerlings,35000
WILLARD RESERVOIR,-82.665177,41.057248,199,1984,Yellow Perch,Fingerlings,30000
WILLARD RESERVOIR,-82.665177,41.057248,199,1984,Yellow Perch,Fingerlings,30000
BERLIN LAKE,-81.002592,41.046758,3132,1984,Walleye,Fry,500000
WILLS CREEK (MUSKINGUM R),NULL,NULL,N/A,1989,Yellow Perch,Fry,90000
WILLS CREEK (MUSKINGUM R),NULL,NULL,N/A,1989,Saugeye,Fingerlings,27871
WILLS CREEK (MUSKINGUM R),NULL,NULL,N/A,1989,Saugeye,Fingerlings,27316
WILLS CREEK LAKE,-81.850408,40.157271,375,1988,Saugeye,Fingerlings,26937
WOLF CREEK  WILDLIFE AREA,NULL,NULL,N/A,1985,Bluegill,Fingerlings,500
WOLF CREEK  WILDLIFE AREA,NULL,NULL,N/A,1982,Channel Catfish,Fingerlings,990
WOLF CREEK  WILDLIFE AREA,NULL,NULL,N/A,1985,Channel Catfish,Fingerlings,100
WOLF CREEK  WILDLIFE AREA,NULL,NULL,N/A,1985,Largemouth Bass,Fingerlings,100
BERLIN LAKE,-81.002592,41.046758,3132,1985,Walleye,Fry,2550000
WOLF RUN LAKE,-81.548180,39.790673,208,1982,Channel Catfish,Fingerlings,22750
WOLF RUN LAKE,-81.548180,39.790673,208,1983,Channel Catfish,Fingerlings,28860
WOLF RUN LAKE,-81.548180,39.790673,208,1984,Channel Catfish,Yearling,5278
WOLF RUN LAKE,-81.548180,39.790673,208,1986,Channel Catfish,Yearling,5250
WOLF RUN LAKE,-81.548180,39.790673,208,1988,Channel Catfish,Yearling,4831
INDIAN LAKE,-83.875493,40.467488,5036,1970,Northern Pike,Fingerlings,1842
INDIAN LAKE,-83.875493,40.467488,5036,1970,Muskellunge,Fingerlings,600
INDIAN LAKE,-83.875493,40.467488,5036,1970,Largemouth Bass,Fingerlings,8769
FINDLEY LAKE,-82.208213,41.137552,85,1970,Northern Pike,Fingerlings,1010
KIPTON RESERVOIR,-82.308000,41.249602,2,1970,Largemouth Bass,Fingerlings,500
EVERGREEN LAKE,-83.830774,41.534994,10,1970,Northern Pike,Fingerlings,500
CHAGRIN RIVER (LAKE ERIE),NULL,NULL,N/A,1984,Coho Salmon,Yearling,58100
EVERGREEN LAKE,-83.830774,41.534994,10,1970,Largemouth Bass,Fingerlings,816
MADISON LAKE,-83.376307,39.866132,98,1970,Northern Pike,Fingerlings,1000
MADISON LAKE,-83.376307,39.866132,98,1970,Largemouth Bass,Fingerlings,2500
LAKE MILTON,-80.977591,41.127257,1694,1970,Walleye,Fry,100000
HINCKLEY LAKE,-81.720128,41.226454,80,1970,Northern Pike,Fingerlings,1400
SPENCER LAKE,-82.080427,41.106953,87,1970,Chain Pickerel,Fingerlings,815
SPENCER LAKE,-82.080427,41.106953,87,1970,Largemouth Bass,Fingerlings,3000
HINCKLEY LAKE,-81.720128,41.226454,80,1970,Largemouth Bass,Fingerlings,1020
FORKED RUN LAKE,-81.767632,39.091778,110,1970,Rainbow Trout,Fingerlings,1000
CHAGRIN RIVER (LAKE ERIE),NULL,NULL,N/A,1984,Coho Salmon,Yearling,69000
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,1970,Northern Pike,Fingerlings,3450
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,1970,Northern Pike,Fingerlings,3404
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,1970,Northern Pike,Fingerlings,2873
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,1970,Northern Pike,Fingerlings,2180
DECKER LAKE,-84.283415,40.188058,18,1970,Northern Pike,Fingerlings,2069
MONROE LAKE,-81.137885,39.818172,39,1970,Largemouth Bass,Fingerlings,2000
EASTWOOD LAKE,-84.145686,39.782494,196,1970,Walleye,Fry,1800000
CHAGRIN RIVER (LAKE ERIE),NULL,NULL,N/A,1985,Coho Salmon,Yearling,37915
EASTWOOD LAKE,-84.145686,39.782494,196,1970,Largemouth Bass,Fingerlings,1000
AEP RECREATION LAND,NULL,NULL,N/A,1970,Largemouth Bass,Fingerlings,3000
AEP RECREATION LAND,NULL,NULL,N/A,1970,Largemouth Bass,Fingerlings,10000
DELAWARE WILDLIFE AREA,NULL,NULL,N/A,1970,Largemouth Bass,Fingerlings,875
AMICK RESERVOIR,-82.822681,40.703148,53,1970,Largemouth Bass,Fingerlings,2000
DILLON LAKE,-82.082083,39.990866,1279,1970,Muskellunge,Fingerlings,2000
AEP AVONDALE COAL LANDS,NULL,NULL,N/A,1970,Largemouth Bass,Fingerlings,2000
MUNRO BASIN,-81.954856,40.153369,41,1970,Largemouth Bass,Fingerlings,1500
CHAGRIN RIVER (LAKE ERIE),NULL,NULL,N/A,1985,Coho Salmon,Yearling,32127
SENECA LAKE,-81.438174,39.924472,3587,1970,Muskellunge,Fingerlings,1000
SENECA LAKE,-81.438174,39.924472,3587,1970,Muskellunge,Fingerlings,500
CLOUSE LAKE,-82.303206,39.765065,19,1970,Largemouth Bass,Fingerlings,2000
CHAGRIN RIVER (LAKE ERIE),NULL,NULL,N/A,1985,Coho Salmon,Yearling,37400
NEW LEXINGTON RESERVOIR 1A,-82.215604,39.733720,32,1970,Largemouth Bass,Fingerlings,1000
DEER CREEK RESERVOIR,-81.116487,40.968658,334,1970,Walleye,Fry,500000
DEER CREEK RESERVOIR,-81.116487,40.968658,334,1970,Walleye,Fry,500000
HARGUS LAKE,-82.887399,39.626751,143,1970,Muskellunge,Fingerlings,500
CHAGRIN RIVER (LAKE ERIE),NULL,NULL,N/A,1985,Coho Salmon,Yearling,30075
DEER CREEK RESERVOIR,-81.116487,40.968658,334,1970,Muskellunge,Fingerlings,800
DEER CREEK RESERVOIR,-81.116487,40.968658,334,1970,Muskellunge,Fingerlings,575
HARGUS LAKE,-82.887399,39.626751,143,1970,Muskellunge,Fingerlings,1000
DEER CREEK RESERVOIR,-81.116487,40.968658,334,1970,Muskellunge,Fingerlings,500
DEER CREEK RESERVOIR,-81.116487,40.968658,334,1970,Largemouth Bass,Fingerlings,10000
LAKE WHITE,-83.013789,39.101454,333,1970,Muskellunge,Fingerlings,240
LAKE WHITE,-83.013789,39.101454,333,1970,Muskellunge,Fingerlings,35
CHAGRIN RIVER (LAKE ERIE),NULL,NULL,N/A,1985,Coho Salmon,Yearling,34350
SUNFISH CREEK (SCIOTO R),NULL,NULL,N/A,1970,Muskellunge,Fingerlings,40
LAKE WHITE,-83.013789,39.101454,333,1970,Largemouth Bass,Fingerlings,5000
PIKE LAKE,-83.218797,39.159445,13,1970,Largemouth Bass,Fingerlings,522
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1970,Walleye,Fry,500000
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,1970,Muskellunge,Fingerlings,1000
MOGADORE RESERVOIR,-81.380387,41.057857,1077,1970,Muskellunge,Fingerlings,70
BRESLER RESERVOIR,-84.229082,40.730660,582,1982,Yellow Perch,Fingerlings,59550
BRESLER RESERVOIR,-84.229082,40.730660,582,1984,Yellow Perch,Fingerlings,60000
BUCKEYE LAKE,-82.488212,39.927860,2851,1988,Channel Catfish,Fry,68508
BUCKEYE LAKE,-82.488212,39.927860,2851,1984,Hybrid-Striped Bass,Fry,200000
BUCKEYE LAKE,-82.488212,39.927860,2851,1989,Hybrid-Striped Bass,Fingerlings,82635
AMANN RESERVOIR,-82.822403,40.712548,32,1982,Northern Pike,Fingerlings,662
BUCKEYE LAKE,-82.488212,39.927860,2851,1982,Walleye,Fingerlings,57120
BUCKEYE LAKE,-82.488212,39.927860,2851,1982,Walleye,Fingerlings,30000
BUCKEYE LAKE,-82.488212,39.927860,2851,1983,Walleye,Fingerlings,25558
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,1999,Brown Trout,Yearling,5928
CLEAR CREEK (HOCKING R),NULL,NULL,N/A,1999,Brown Trout,Yearling,1152
CLEAR CREEK (HOCKING R),NULL,NULL,N/A,1999,Brown Trout,Yearling,1200
CLEAR CREEK (HOCKING R),NULL,NULL,N/A,1999,Brown Trout,Yearling,1152
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),NULL,NULL,N/A,1999,Brown Trout,Yearling,3300
ROSE LAKE,-82.537895,39.424910,21,1998,Golden Trout,Yearling,425
ROSE LAKE,-82.537895,39.424910,21,1998,Golden Trout,Yearling,425
ADAMS LAKE,-83.516026,38.813935,37,1998,Golden Trout,Yearling,2775
CLARK LAKE,-83.660480,39.948114,97,2000,Golden Trout,Yearling,2512
WOLF RUN LAKE,-81.548180,39.790673,208,2000,Golden Trout,Yearling,1666
WOLF RUN LAKE,-81.548180,39.790673,208,2000,Rainbow Trout,Yearling,2350
STONELICK LAKE,-84.084333,39.216022,161,2000,Rainbow Trout,Yearling,2002
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2000,Brown Trout,Fingerlings,15480
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),NULL,NULL,N/A,2000,Brown Trout,Fingerlings,15480
ANTRIM LAKE,-83.033796,40.077248,43,2000,Golden Trout,Fingerlings,26370
DOW LAKE,-82.017642,39.335373,172,2000,Golden Trout,Yearling,2006
DOW LAKE,-82.017642,39.335373,172,2000,Rainbow Trout,Yearling,2060
STONELICK LAKE,-84.084333,39.216022,161,1998,Golden Trout,Yearling,2707
FORKED RUN LAKE,-81.767632,39.091778,110,1998,Golden Trout,Yearling,2675
STONELICK LAKE,-84.084333,39.216022,161,1998,Golden Trout,Yearling,1568
GRAND RIVER (LAKE ERIE),NULL,NULL,N/A,1998,Rainbow Trout,Yearling,4416
JEFFERSON LAKE,-80.794249,40.460666,20,1998,Golden Trout,Yearling,1189
JEFFERSON LAKE,-80.794249,40.460666,20,1998,Rainbow Trout,Yearling,1376
SILVER CREEK LAKE,-81.683129,40.993561,46,1998,Golden Trout,Yearling,2500
MT. GILEAD LAKE,-82.817123,40.549250,16,1998,Rainbow Trout,Yearling,1200
CENCI PARK LAKE,-82.607983,39.707059,9,1998,Rainbow Trout,Yearling,525
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2000,Walleye,Fry,898825
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2000,Walleye,Fry,2089800
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2000,Walleye,Fry,1770750
BLUE LIMESTONE PARK,NULL,NULL,3,1998,Rainbow Trout,Yearling,525
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2000,Walleye,Fry,2348000
ANTRIM LAKE,-83.033796,40.077248,43,2000,Rainbow Trout,Yearling,634
CANTERS CAVE POND,NULL,NULL,N/A,2000,Rainbow Trout,Yearling,400
ANTRIM LAKE,-83.033796,40.077248,43,2000,Rainbow Trout,Yearling,500
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2000,Brown Trout,Fingerlings,7500
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),NULL,NULL,N/A,2000,Brown Trout,Fingerlings,7500
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,1999,Brown Trout,Yearling,500
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,1999,Brown Trout,Yearling,500
CLEARFORK RESERVOIR,-82.606283,40.698152,1033,2000,Muskellunge,Adv. Fingerlings,300
MAUMEE BAY STATE PARK POND,-83.374627,41.680752,50,1998,Rainbow Trout,Yearling,2700
CLEARFORK RESERVOIR,-82.606283,40.698152,1033,2000,Muskellunge,Adv. Fingerlings,700
LEESVILLE LAKE,-81.194548,40.468665,1011,2000,Muskellunge,Adv. Fingerlings,906
LEESVILLE LAKE,-81.194548,40.468665,1011,2000,Muskellunge,Adv. Fingerlings,94
COWAN LAKE,-83.924930,39.388295,694,2000,Muskellunge,Adv. Fingerlings,576
COWAN LAKE,-83.924930,39.388295,694,2000,Muskellunge,Adv. Fingerlings,116
CAESAR CREEK LAKE,-84.061277,39.484992,2806,2000,Muskellunge,Adv. Fingerlings,555
CAESAR CREEK LAKE,-84.061277,39.484992,2806,2000,Muskellunge,Adv. Fingerlings,2275
CLEARFORK RESERVOIR,-82.606283,40.698152,1033,2000,Muskellunge,Adv. Fingerlings,500
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,2000,Muskellunge,Adv. Fingerlings,1325
LEESVILLE LAKE,-81.194548,40.468665,1011,2000,Muskellunge,Adv. Fingerlings,500
MAUMEE BAY STATE PARK POND,-83.374627,41.680752,50,1998,Rainbow Trout,Yearling,1700
PIEDMONT LAKE,-81.213162,40.190368,2370,2000,Muskellunge,Adv. Fingerlings,1155
ALUM CREEK LAKE,-82.963793,40.184249,3331,2000,Muskellunge,Adv. Fingerlings,759
ALUM CREEK LAKE,-82.963793,40.184249,3331,2000,Muskellunge,Adv. Fingerlings,576
ALUM CREEK LAKE,-82.963793,40.184249,3331,2000,Muskellunge,Adv. Fingerlings,365
SALT FORK LAKE,-81.557065,40.104771,3060,2000,Muskellunge,Adv. Fingerlings,177
SALT FORK LAKE,-81.557065,40.104771,3060,2000,Muskellunge,Adv. Fingerlings,508
SALT FORK LAKE,-81.557065,40.104771,3060,2000,Muskellunge,Adv. Fingerlings,236
SALT FORK LAKE,-81.557065,40.104771,3060,2000,Muskellunge,Adv. Fingerlings,61
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2000,Brown Trout,Yearling,10374
EAST HARBOR STATE PARK POND,NULL,NULL,2,1998,Rainbow Trout,Yearling,500
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2000,Brown Trout,Yearling,2095
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),NULL,NULL,N/A,2000,Brown Trout,Yearling,10416
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2000,Brown Trout,Yearling,5447
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),NULL,NULL,N/A,2000,Brown Trout,Yearling,8558
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2000,Brown Trout,Yearling,3597
CLEAR CREEK (HOCKING R),NULL,NULL,N/A,2000,Brown Trout,Yearling,1759
CLEAR CREEK (HOCKING R),NULL,NULL,N/A,2000,Brown Trout,Yearling,1759
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2000,Brown Trout,Yearling,1694
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),NULL,NULL,N/A,2000,Brown Trout,Yearling,1694
ROCKY RIVER (LAKE ERIE),NULL,NULL,N/A,1998,Rainbow Trout,Yearling,4556
GIERTZ LAKE,-83.559920,41.030365,5,1998,Rainbow Trout,Yearling,444
ANTRIM LAKE,-83.033796,40.077248,43,2001,Golden Trout,Fingerlings,5000
ANTRIM LAKE,-83.033796,40.077248,43,2001,Rainbow Trout,Fingerlings,72600
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2001,Brown Trout,Fingerlings,17500
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),NULL,NULL,N/A,2001,Brown Trout,Fingerlings,17500
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2001,Walleye,Fry,1467975
GIERTZ LAKE,-83.559920,41.030365,5,1998,Rainbow Trout,Yearling,556
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2001,Walleye,Fry,1539018
ALUM CREEK LAKE,-82.963793,40.184249,3331,2001,Muskellunge,Fry,90000
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2001,Brown Trout,Fingerlings,4800
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),NULL,NULL,N/A,2001,Brown Trout,Fingerlings,4800
ALUM CREEK LAKE,-82.963793,40.184249,3331,2001,Muskellunge,Fry,45000
CAESAR CREEK LAKE,-84.061277,39.484992,2806,2001,Muskellunge,Adv. Fingerlings,1088
CLEARFORK RESERVOIR,-82.606283,40.698152,1033,2001,Muskellunge,Adv. Fingerlings,429
CLEARFORK RESERVOIR,-82.606283,40.698152,1033,2001,Muskellunge,Adv. Fingerlings,997
CLEARFORK RESERVOIR,-82.606283,40.698152,1033,2001,Muskellunge,Adv. Fingerlings,574
PINE RUN (MUSKINGUM R),NULL,NULL,N/A,1998,Brown Trout,Fingerlings,19250
LAKE MILTON,-80.977591,41.127257,1694,2001,Muskellunge,Adv. Fingerlings,1685
LEESVILLE LAKE,-81.194548,40.468665,1011,2001,Muskellunge,Adv. Fingerlings,639
LEESVILLE LAKE,-81.194548,40.468665,1011,2001,Muskellunge,Adv. Fingerlings,27
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),NULL,NULL,N/A,2001,Brown Trout,Yearling,9194
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2001,Brown Trout,Yearling,5050
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2001,Brown Trout,Yearling,9679
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),NULL,NULL,N/A,2001,Brown Trout,Yearling,8805
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2001,Brown Trout,Yearling,8466
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,1998,Brown Trout,Fingerlings,15750
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),NULL,NULL,N/A,2001,Brown Trout,Yearling,1980
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2001,Brown Trout,Yearling,1830
PUNDERSON LAKE,-81.210446,41.460767,80,1998,Rainbow Trout,Yearling,2700
CLEAR CREEK (HOCKING R),NULL,NULL,N/A,2001,Brown Trout,Yearling,1750
CLEAR CREEK (HOCKING R),NULL,NULL,N/A,2001,Brown Trout,Yearling,1750
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),NULL,NULL,N/A,2001,Brown Trout,Yearling,3480
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2002,Brown Trout,Fingerlings,19057
ANTRIM LAKE,-83.033796,40.077248,43,2002,Rainbow Trout,Fingerlings,117773
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2002,Brown Trout,Fingerlings,16756
PUNDERSON LAKE,-81.210446,41.460767,80,1998,Golden Trout,Yearling,2350
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),NULL,NULL,N/A,2002,Brown Trout,Fingerlings,17608
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2002,Brown Trout,Fingerlings,7122
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),NULL,NULL,N/A,2002,Brown Trout,Fingerlings,7122
CLEARFORK RESERVOIR,-82.606283,40.698152,1033,2002,Muskellunge,Adv. Fingerlings,436
COWAN LAKE,-83.924930,39.388295,694,2002,Muskellunge,Adv. Fingerlings,379
CLEARFORK RESERVOIR,-82.606283,40.698152,1033,2002,Muskellunge,Adv. Fingerlings,356
COWAN LAKE,-83.924930,39.388295,694,2002,Muskellunge,Adv. Fingerlings,81
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),NULL,NULL,N/A,2002,Brown Trout,Yearling,7703
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2002,Brown Trout,Yearling,7986
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2002,Brown Trout,Yearling,10307
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),NULL,NULL,N/A,2002,Brown Trout,Yearling,7660
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),NULL,NULL,N/A,2002,Brown Trout,Yearling,2945
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2002,Brown Trout,Yearling,2945
CLEAR CREEK (HOCKING R),NULL,NULL,N/A,2002,Brown Trout,Yearling,3500
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2002,Brown Trout,Yearling,1079
CLEAR FORK MOHICAN RIVER (MUSKINGUM R),NULL,NULL,N/A,2002,Brown Trout,Yearling,1078
ANTRIM LAKE,-83.033796,40.077248,43,1998,Golden Trout,Yearling,569
ANTRIM LAKE,-83.033796,40.077248,43,2003,Rainbow Trout,Fingerlings,80403
ANTRIM LAKE,-83.033796,40.077248,43,1998,Golden Trout,Yearling,2405
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2003,Brown Trout,Fingerlings,34030
ANTRIM LAKE,-83.033796,40.077248,43,2003,Rainbow Trout,Fingerlings,5146
ANTRIM LAKE,-83.033796,40.077248,43,2003,Golden Trout,Fingerlings,4398
DEER CREEK LAKE,-83.244914,39.605639,1301,2003,Saugeye,Fry,819000
ALUM CREEK LAKE,-82.963793,40.184249,3331,2003,Muskellunge,Fry,15376
ALUM CREEK LAKE,-82.963793,40.184249,3331,2003,Muskellunge,Fry,10647
PINE RUN (MUSKINGUM R),NULL,NULL,N/A,2003,Brook Trout,Fingerlings,770
CEDAR FORK (MUSKINGUM R),NULL,NULL,N/A,2003,Brown Trout,Fingerlings,3000
ANTRIM LAKE,-83.033796,40.077248,43,1998,Rainbow Trout,Yearling,1280
MAD RIVER (GREAT MIAMI R),NULL,NULL,N/A,2003,Brown Trout,Fingerlings,3770
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,2003,Muskellunge,Adv. Fingerlings,200
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,2003,Muskellunge,Adv. Fingerlings,1225
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,2003,Muskellunge,Adv. Fingerlings,1226
SALT FORK LAKE,-81.557065,40.104771,3060,2003,Muskellunge,Adv. Fingerlings,988
SALT FORK LAKE,-81.557065,40.104771,3060,2003,Muskellunge,Adv. Fingerlings,518
ROCKY RIVER (LAKE ERIE),NULL,NULL,N/A,1998,Rainbow Trout,Yearling,3704
WOLF RUN LAKE,-81.548180,39.790673,208,1998,Golden Trout,Fingerlings,44439
SALT FORK LAKE,-81.557065,40.104771,3060,2003,Muskellunge,Adv. Fingerlings,848
SALT FORK LAKE,-81.557065,40.104771,3060,2003,Muskellunge,Adv. Fingerlings,435
COWAN LAKE,-83.924930,39.388295,694,2003,Muskellunge,Adv. Fingerlings,603
COWAN LAKE,-83.924930,39.388295,694,2003,Muskellunge,Adv. Fingerlings,117
CLEARFORK RESERVOIR,-82.606283,40.698152,1033,2003,Muskellunge,Adv. Fingerlings,686
CLEARFORK RESERVOIR,-82.606283,40.698152,1033,2003,Muskellunge,Adv. Fingerlings,174
CLEARFORK RESERVOIR,-82.606283,40.698152,1033,2003,Muskellunge,Adv. Fingerlings,366
ALUM CREEK LAKE,-82.963793,40.184249,3331,2003,Muskellunge,Adv. Fingerlings,447
ALUM CREEK LAKE,-82.963793,40.184249,3331,2003,Muskellunge,Adv. Fingerlings,453
LAKE MILTON,-80.977591,41.127257,1694,2003,Muskellunge,Adv. Fingerlings,730
ALUM CREEK LAKE,-82.963793,40.184249,3331,1998,Muskellunge,Fry,63500
LAKE MILTON,-80.977591,41.127257,1694,2003,Muskellunge,Adv. Fingerlings,359
LAKE MILTON,-80.977591,41.127257,1694,2003,Muskellunge,Adv. Fingerlings,293
ALUM CREEK LAKE,-82.963793,40.184249,3331,2003,Muskellunge,Adv. Fingerlings,545
ALUM CREEK LAKE,-82.963793,40.184249,3331,2003,Muskellunge,Adv. Fingerlings,169
WEST BRANCH RESERVOIR,-81.079412,41.155371,2621,2003,Muskellunge,Adv. Fingerlings,500
